"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"iL335230",1,"individual","left","yes",2,"s3406",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,1,1,1,1,1,1",9,1,0,4,-1,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,2,1
"cR342485",1,"culture","right","yes",2,"s2500",FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,0,0,0,0,0,0,0",9,1,0,3,-1,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,5,1
"iU600365",1,"individual","uniform","no",6,"s7925",TRUE,"1,1,0,0,0,0,0,0,0,1","1,1,0,0,0,0,0,0,0,1",10,2,0,3,0,0,0,1,1,1,1,1,1,1,0,"0011111110",2,6,4,2,0
"cL849788",1,"culture","left","yes",2,"s3100",TRUE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",10,1,0,4,0,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,2,0
"iU499151",1,"individual","uniform","no",4,"s9634",TRUE,"1,1,1,1,1,1,1,1,0,0","1,1,1,1,1,1,1,1,0,0",10,1,0,8,0,0,0,0,0,0,0,0,0,1,1,"0000000011",3,6,0,3,0
"iR656471",1,"individual","right","yes",3,"s8874",FALSE,"1,1,1,1,1,1,0,1,0,0","1,1,1,1,1,1,1,1,0,0",9,1,-2,8,1,0,0,0,0,0,0,0,0,1,1,"0000000011",3,6,0,0,1
"cU492655",1,"culture","uniform","no",2,"s1300",FALSE,"1,1,1,0,0,0,0,0,0,1","1,1,1,0,0,0,0,0,0,0",9,1,-1,3,-1,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,2,1
"iU630641",1,"individual","uniform","no",1,"s8812",FALSE,"1,0,0,0,1,0,1,0,1,1","0,0,0,0,0,0,0,1,1,1",6,1,-5,7,2,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,2,4
"iL173364",1,"individual","left","yes",1,"s3971",FALSE,"1,0,1,0,0,1,0,0,1,1","1,1,1,0,1,0,1,1,1,1",5,4,-2,8,3,0,0,0,1,0,1,0,0,0,0,"0001010000",3,3,3,3,5
"iL407653",1,"individual","left","yes",1,"s2353",FALSE,"0,1,0,0,1,1,0,1,0,1","0,1,1,1,1,1,1,0,0,0",5,2,-5,4,-1,0,1,1,1,1,1,1,0,0,0,"0111111000",1,3,7,3,5
"cL195311",1,"culture","left","yes",2,"s3200",TRUE,"0,0,0,1,1,1,1,1,1,1","0,0,0,1,1,1,1,1,1,1",10,1,0,3,0,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,1,0
"cR553349",1,"culture","right","yes",1,"s3000",FALSE,"1,0,1,1,0,0,0,1,0,1","1,0,0,0,1,0,0,1,0,1",7,6,0,4,-1,1,0,0,0,1,0,0,1,0,1,"1000100101",1,6,5,5,3
"iL373860",0,"individual","left","yes",1,"s9879",FALSE,"0,1,0,1,0,1,1,0,1,0","0,0,1,1,1,1,0,1,0,0",4,4,-4,5,0,0,0,1,1,1,1,0,1,0,0,"0011110100",0,3,1,3,6
"cU963496",1,"culture","uniform","no",1,"s1000",FALSE,"1,0,1,1,0,1,0,0,1,0","0,1,0,1,0,0,1,1,1,0",4,6,-1,5,0,0,1,0,1,0,0,1,1,1,0,"0101001110",0,4,2,0,6
"iU681777",1,"individual","uniform","no",2,"s5672",FALSE,"1,0,0,1,1,1,1,0,0,0","1,0,0,1,1,0,1,0,0,0",9,5,2,4,-1,0,1,1,0,0,1,0,1,1,1,"0110010111",1,2,3,1,1
"iR592094",1,"individual","right","yes",5,"s8757",FALSE,"0,1,1,0,1,1,1,1,1,0","0,0,1,0,1,1,1,1,1,0",9,4,0,4,1,0,0,1,0,1,1,1,1,1,0,"0010111110",1,2,2,2,1
"iU324135",1,"individual","uniform","no",1,"s7120",FALSE,"1,0,1,0,0,0,1,1,1,0","1,1,1,0,0,0,0,0,0,0",6,1,-4,3,-2,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,2,6
"cR459739",1,"culture","right","yes",3,"s1800",FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",9,1,0,5,1,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,1
"iU538938",1,"individual","uniform","no",3,"s5015",FALSE,"0,0,0,0,0,0,0,0,1,1","0,0,0,0,0,0,0,1,1,1",9,1,0,7,-1,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,2,1
"iL499300",1,"individual","left","yes",2,"s3420",TRUE,"0,0,1,1,0,1,0,0,0,0","0,0,1,1,0,1,0,0,0,0",10,4,0,7,0,0,0,1,1,0,1,0,0,0,0,"0011010000",2,2,3,2,0
"iU308968",0,"individual","uniform","no",6,"s2643",FALSE,"1,1,1,1,0,1,0,0,0,1","1,1,1,0,0,0,0,0,0,1",8,2,-2,4,-2,1,1,1,0,0,0,0,0,0,1,"1110000001",1,3,7,1,2
"iL573482",1,"individual","left","yes",1,"s5057",FALSE,"1,0,1,1,0,0,0,1,0,1","1,1,1,1,0,0,0,0,0,0",7,1,-5,4,-1,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,2,7
"iL558262",1,"individual","left","yes",1,"s6779",FALSE,"0,1,1,0,1,1,0,0,0,1","1,1,0,0,0,0,0,0,0,0",5,1,-4,2,-3,0,0,1,1,1,1,1,1,1,1,"0011111111",3,0,6,0,5
"iR415143",0,"individual","right","yes",2,"s6813",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,1,0,1,1,1",9,3,2,6,1,0,0,0,0,0,1,0,1,1,1,"0000010111",1,3,3,3,1
