"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change"
"iL308010",0,"individual","left","yes",8,"s1832",FALSE,"0,1,1,1,1,0,0,0,0,0","0,1,1,1,0,0,0,0,0,0",9,2,0,7,1
"cU981214",0,"culture","uniform","no",1,"s900",FALSE,"1,0,0,1,0,0,1,0,1,1","1,0,1,0,0,0,0,0,1,1",7,4,-2,4,-1
"iU308968",0,"individual","uniform","no",2,"s2643",FALSE,"0,1,0,1,0,1,1,0,1,0","1,0,0,0,1,1,1,1,0,1",3,4,-4,6,1
"iR763032",0,"individual","right","yes",1,"s5139",FALSE,"1,0,0,1,0,0,1,1,1,0","1,1,1,0,0,0,1,0,1,1",5,4,-1,6,1
"iL373860",0,"individual","left","yes",4,"s9879",FALSE,"0,1,0,1,0,0,1,1,1,0","1,1,0,0,0,0,1,1,1,0",8,3,-3,5,0
"iR763032",0,"individual","right","yes",8,"s5139",FALSE,"1,0,1,0,1,1,1,1,1,0","0,1,0,1,0,1,1,0,0,1",2,7,2,5,-2
"cL750207",0,"culture","left","yes",3,"s4400",FALSE,"1,1,0,0,0,0,0,0,1,1","1,1,0,0,0,0,0,1,1,1",9,2,0,5,1
"iR432012",0,"individual","right","yes",3,"s4870",FALSE,"0,1,0,0,1,0,0,1,0,0","0,1,1,0,0,0,1,1,0,0",7,4,-2,6,-1
"iL373860",0,"individual","left","yes",3,"s9879",FALSE,"0,1,0,0,0,1,0,1,1,0","0,1,0,1,0,0,1,1,1,0",7,6,0,5,-1
"iR925144",0,"individual","right","yes",6,"s3416",FALSE,"1,1,0,1,1,0,1,0,0,0","1,1,0,1,0,1,0,0,0,0",7,5,0,4,-1
"cU418491",0,"culture","uniform","no",3,"s900",FALSE,"1,1,1,1,1,0,0,0,1,1","1,0,0,1,1,1,1,1,1,1",5,2,0,8,1
"iL242076",0,"individual","left","yes",8,"s9394",FALSE,"0,0,1,1,0,1,0,0,0,1","0,0,0,1,1,0,1,0,0,1",6,5,0,6,0
"iR763032",0,"individual","right","yes",2,"s5139",FALSE,"1,1,1,0,0,0,1,0,1,1","1,1,1,1,0,0,1,0,1,1",9,4,0,7,1
"cU997621",0,"culture","uniform","no",4,"s1200",FALSE,"0,1,1,1,1,1,0,0,0,1","1,0,1,0,1,0,1,1,0,1",4,8,5,6,2
"cL218628",0,"culture","left","yes",9,"s3700",FALSE,"1,1,1,0,1,0,0,0,0,0","1,1,0,0,0,0,0,0,0,0",8,1,-2,2,-2
"iU338909",0,"individual","uniform","no",5,"s3713",FALSE,"1,0,0,0,1,0,0,1,1,1","1,0,1,1,0,0,0,0,1,1",6,4,0,5,0
"iR925144",0,"individual","right","yes",7,"s3416",FALSE,"1,1,0,1,0,1,0,0,0,0","1,0,1,1,0,0,1,0,0,0",6,5,0,4,0
